track,condition_or_table,status,result_root_or_file,script_snapshot,hardware,notes
main_results,main NSE result index,paper_facing,docs/bayes_unified_collected_results_with_paths.csv,reproducibility/code/main/bayes_unified_main_20260523.py,c201 RTX 5080 plus historical indexed roots,Use CSV paths to identify each dataset/noise setting before citing.
component_ablation,A0_full pr005_nr03,paper_facing,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100_pr005_nr03_maxw05/refactored_e500_seed1;/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100_pr005_nr03_maxw05/refactored_e500_seed23,reproducibility/code/main/bayes_unified_main_20260523.py,c201 RTX 5080,A0 shares the main CIFAR100 q=0.05 eta=0.3 full-NSE row; seed 1 and seed 2/3 logs were stored in split run directories.
component_ablation,A1-A8 current manuscript rows,paper_facing,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03,reproducibility/code/component_ablation/train_nse_component_ablation_20260523.py,c201 RTX 5080,Use A01-A08 from the model_ablast/c100_pr005_nr03 directory; old audit rows are archived.
persistent_state_v2,FREDIS_V2_PSS,paper_facing,/home/c201/公共/whm/PALS-SOFT/双视图单视图实验结果/results/nse_persistent_state_v2_20260521/FREDIS_V2_PSS/master_log.txt,reproducibility/code/persistent_state/train_nse_persistent_state_proxies_20260523.py,c201 RTX 5080,Completed seeds 1 2 3.
persistent_state_v2,IRNet_V2_PSS,paper_facing,/home/c201/公共/whm/PALS-SOFT/双视图单视图实验结果/results/nse_persistent_state_v2_20260521/IRNet_V2_PSS/master_log.txt,reproducibility/code/persistent_state/train_nse_persistent_state_proxies_20260523.py,c201 RTX 5080,Completed seeds 1 2 3; IRNet-style score-gap correction proxy.
persistent_state_v2,PALS_SARI_V2_PSS,paper_facing,/home/c201/公共/whm/PALS-SOFT/双视图单视图实验结果/results/nse_persistent_state_v2_20260521/PALS_SARI_V2_PSS/master_log.txt,reproducibility/code/persistent_state/train_nse_persistent_state_proxies_20260523.py,c201 RTX 5080,Completed seeds 1 2 3.
persistent_state_v2,UPLLRS_V2_PSS,paper_facing,/home/c201/公共/whm/PALS-SOFT/双视图单视图实验结果/results/nse_persistent_state_v2_20260521/UPLLRS_V2_PSS/master_log.txt,reproducibility/code/persistent_state/train_nse_persistent_state_proxies_20260523.py,c201 RTX 5080,Completed seeds 1 2 3.
persistent_state_v2,PiCOPlus_V2_PSS,paper_facing,/home/c201/公共/whm/PALS-SOFT/双视图单视图实验结果/results/nse_persistent_state_v2_20260521/PiCOPlus_V2_PSS/master_log.txt,reproducibility/code/persistent_state/train_nse_persistent_state_proxies_20260523.py,c201 RTX 5080,Completed seeds 1 2 3; soft pseudo-target carry-over proxy.
single_seed_validation,representative validation suite,paper_facing_validation,/home/c201/公共/whm/PALS-SOFT/双视图单视图实验结果/results/nse_single_seed_validation_20260523,reproducibility/commands/run_single_seed_validation_c201_gpu0.sh;c201_gpu1.sh,c201 RTX 5080,Completed 2026-05-24; representative single-seed validation for PSS proxies plus A0 and main CIFAR100 q=0.05 eta=0.3.
noise_rate_slice_validation,C10/C100 noise-rate validation,completed,/home/c201/公共/whm/PALS-SOFT/双视图单视图实验结果/results/nse_noise_rate_slice_validation_20260525,reproducibility/commands/run_noise_rate_slice_validation_c201_gpu0.sh;c201_gpu1.sh,c201 RTX 5080,Completed single-seed validation for C10 q=0.5 eta=0.1/0.2/0.3 and C100 q=0.05 eta=0.1/0.4/0.5. Summary: paper_reproducible_release/results/noise_rate_slice_validation_summary_20260525.csv.
deprecated,old unified ablation,deprecated,/home/c201/公共/whm/PALS-SOFT/双视图单视图实验结果/scripts/deprecated_invalid_20260513/bayes_unified_unified_ablation.py,none,not paper evidence,Do not use for manuscript tables.
